keypoint_1_x,keypoint_1_y,keypoint_1_z,keypoint_2_x,keypoint_2_y,keypoint_2_z,keypoint_3_x,keypoint_3_y,keypoint_3_z,keypoint_4_x,keypoint_4_y,keypoint_4_z,keypoint_5_x,keypoint_5_y,keypoint_5_z,keypoint_6_x,keypoint_6_y,keypoint_6_z,keypoint_7_x,keypoint_7_y,keypoint_7_z,keypoint_8_x,keypoint_8_y,keypoint_8_z,keypoint_9_x,keypoint_9_y,keypoint_9_z,keypoint_10_x,keypoint_10_y,keypoint_10_z,keypoint_11_x,keypoint_11_y,keypoint_11_z,keypoint_12_x,keypoint_12_y,keypoint_12_z,keypoint_13_x,keypoint_13_y,keypoint_13_z,keypoint_14_x,keypoint_14_y,keypoint_14_z,keypoint_15_x,keypoint_15_y,keypoint_15_z,keypoint_16_x,keypoint_16_y,keypoint_16_z,keypoint_17_x,keypoint_17_y,keypoint_17_z,keypoint_18_x,keypoint_18_y,keypoint_18_z,keypoint_19_x,keypoint_19_y,keypoint_19_z,keypoint_20_x,keypoint_20_y,keypoint_20_z,keypoint_21_x,keypoint_21_y,keypoint_21_z,keypoint_22_x,keypoint_22_y,keypoint_22_z,keypoint_23_x,keypoint_23_y,keypoint_23_z,keypoint_24_x,keypoint_24_y,keypoint_24_z,keypoint_25_x,keypoint_25_y,keypoint_25_z
321.517,51.3697,0.749607,317.619,121.857,0.796922,266.661,110.151,0.733664,214.464,159.687,0.523488,200.152,194.917,0.707939,369.822,134.919,0.694955,381.509,194.947,0.608295,380.212,214.529,0.833108,275.845,240.6,0.271645,241.915,231.466,0.232868,183.15,261.472,0.192327,0,0,0,312.36,253.649,0.227899,0,0,0,0,0,0,318.908,47.4918,0.490411,339.727,54.005,0.802937,0,0,0,355.451,81.3883,0.710303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317.61,56.5888,0.893018,318.947,116.61,0.725582,269.317,107.51,0.618092,221.028,151.91,0.595071,149.262,163.662,0.736808,371.132,124.47,0.637229,390.694,189.708,0.415293,399.762,222.346,0.724205,274.53,244.515,0.345427,241.906,234.069,0.299538,181.892,291.497,0.161826,0,0,0,304.546,254.94,0.317339,248.437,308.448,0.101044,0,0,0,313.677,46.1993,0.868477,329.384,47.5536,0.857274,307.092,47.5337,0.14178,351.514,67.0417,0.841195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.905,51.4096,0.842019,317.571,119.244,0.710744,266.694,108.833,0.642706,214.517,151.902,0.357292,201.48,193.608,0.56464,369.744,130.963,0.563139,381.52,187.114,0.43596,381.577,213.189,0.78305,258.88,234.077,0.184026,227.548,223.637,0.177062,164.915,326.712,0.0972437,97.0429,423.293,0.183796,295.401,249.737,0.18399,222.329,339.773,0.0857157,201.471,433.717,0.203103,316.246,48.7605,0.750706,334.574,50.0789,0.792774,304.553,67.0587,0.0629999,352.841,77.5039,0.795162,163.637,442.881,0.0976568,176.66,451.985,0.0851131,201.459,437.654,0.0802871,85.3123,435.042,0.08434,80.0967,428.496,0.101444,91.8414,428.514,0.104301
331.95,52.7144,0.744523,317.642,123.177,0.785069,266.676,110.167,0.738602,215.799,160.985,0.490174,201.461,194.918,0.735762,371.047,140.098,0.707741,382.85,207.972,0.372165,381.564,222.314,0.409835,268.014,237.98,0.36002,235.363,226.267,0.335146,191.016,253.636,0.265814,103.574,411.52,0.311075,300.634,248.442,0.303278,253.633,292.785,0.235102,206.671,419.379,0.160618,326.739,48.8046,0.785073,348.85,56.5771,0.836031,308.527,68.3873,0.649062,357.996,86.6089,0.755956,0,0,0,0,0,0,198.849,437.641,0.0753491,81.3988,432.396,0.151208,0,0,0,100.99,418.079,0.105029
321.509,55.2638,0.763705,318.879,120.596,0.794108,266.731,111.412,0.699455,213.224,157.081,0.422059,201.418,193.682,0.72818,369.821,132.316,0.680241,380.247,192.313,0.606429,380.219,214.504,0.850641,275.834,240.605,0.270263,240.598,234.084,0.225921,162.286,328.008,0.180012,99.7051,412.882,0.30053,307.166,251.051,0.221553,231.461,334.554,0.0633141,193.632,437.64,0.103123,318.872,48.772,0.728383,338.421,51.3944,0.7742,0,0,0,358.009,78.7871,0.746342,162.298,445.457,0.0654575,163.635,445.48,0.05434,193.613,450.673,0.0605298,87.9336,432.414,0.119703,80.0975,421.972,0.150005,97.0578,418.073,0.125402
321.541,50.0916,0.779875,318.865,121.871,0.751192,265.429,112.718,0.658328,213.218,161.008,0.511867,200.143,193.652,0.728205,369.809,132.318,0.690919,381.492,196.249,0.636615,380.214,215.813,0.828081,286.292,249.745,0.247271,248.433,243.21,0.192098,184.496,256.277,0.138573,0,0,0,325.425,258.86,0.232712,249.746,288.875,0.061231,207.978,407.626,0.0926531,317.609,48.7946,0.725285,339.748,55.2588,0.825059,304.555,68.3677,0.153048,351.566,85.2858,0.76418,172.804,421.971,0.0632698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320.249,50.07,0.772776,317.633,121.855,0.796859,266.666,110.169,0.716346,213.201,162.29,0.426895,201.428,194.911,0.542137,369.805,133.607,0.703837,381.497,193.612,0.640508,380.216,214.524,0.846353,282.36,245.819,0.241925,244.511,235.374,0.18677,184.493,256.26,0.0826962,0,0,0,322.812,256.265,0.238017,0,0,0,0,0,0,318.902,47.4713,0.407978,338.515,53.986,0.802042,0,0,0,356.716,80.1222,0.723248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341.064,56.6182,0.878886,318.928,120.541,0.831307,268.04,108.791,0.714249,223.653,158.384,0.431495,205.36,192.292,0.715222,371.092,134.927,0.691505,382.823,202.758,0.446324,381.515,224.96,0.529552,274.51,234.064,0.470936,244.502,224.945,0.420414,181.875,256.259,0.416663,0,0,0,304.526,243.199,0.411019,244.487,292.793,0.319685,215.808,419.374,0.125907,334.558,50.1225,0.785317,354.129,57.9187,0.819947,316.28,67.0549,0.769616,360.643,86.5834,0.705769,0,0,0,0,0,0,213.201,423.288,0.0510364,0,0,0,0,0,0,0,0,0
367.153,69.668,0.744306,327.996,121.863,0.731499,277.117,108.747,0.641721,223.605,142.752,0.412405,202.748,185.823,0.697655,377.594,140.096,0.62844,381.52,215.81,0.270844,0,0,0,278.439,230.174,0.248535,243.199,221.039,0.226879,0,0,0,0,0,0,311.059,240.601,0.224357,0,0,0,0,0,0,360.625,60.55,0.777307,376.327,70.9574,0.627148,334.55,67.0034,0.659915,377.609,89.2444,0.295443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326.694,56.5344,0.844223,317.636,120.563,0.801529,266.698,110.122,0.744627,217.112,159.687,0.500386,200.147,193.689,0.756144,369.784,133.583,0.662487,381.487,192.312,0.535295,376.326,214.542,0.786128,266.74,235.361,0.390528,235.357,224.945,0.323686,189.712,261.475,0.229504,110.109,406.33,0.206288,300.639,244.524,0.339514,256.238,275.858,0.274606,205.373,419.368,0.152446,318.877,48.8273,0.804626,338.508,51.403,0.812358,307.154,67.0837,0.296964,358.003,77.5233,0.77428,0,0,0,0,0,0,200.146,427.208,0.0754278,80.0976,432.419,0.107971,78.8113,428.505,0.11691,0,0,0
376.301,80.0969,0.65684,338.473,123.152,0.457485,288.892,107.48,0.364783,205.399,171.44,0.214115,0,0,0,380.223,141.454,0.470331,381.561,224.936,0.20479,0,0,0,249.736,245.818,0.154066,219.714,234.078,0.157387,147.966,346.303,0.107165,98.3694,422.007,0.103894,277.143,261.483,0.151396,215.807,377.625,0.0665439,0,0,0,371.059,69.6852,0.623613,384.173,81.4273,0.604409,343.7,72.2632,0.601417,388.051,99.6308,0.462721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324.131,54.0011,0.77799,317.609,121.834,0.787419,266.668,110.16,0.71032,214.482,158.394,0.32893,201.408,196.216,0.657906,368.472,134.899,0.666074,381.588,196.231,0.492886,378.888,214.527,0.757368,277.123,244.504,0.248658,239.297,234.083,0.197773,171.424,312.376,0.0787362,107.516,405.042,0.116849,316.271,254.956,0.229304,0,0,0,0,0,0,318.91,48.802,0.691008,339.729,55.2539,0.80277,305.855,69.6438,0.117782,356.712,80.0774,0.757388,0,0,0,0,0,0,0,0,0,84.0268,425.895,0.0500203,82.7091,423.285,0.0563478,102.276,408.941,0.056028
316.246,56.6664,0.806754,317.551,119.282,0.633157,266.709,108.835,0.581851,211.876,150.522,0.568378,153.184,164.905,0.715389,365.869,129.721,0.4871,389.378,183.17,0.362021,398.468,219.725,0.685791,270.623,232.756,0.335343,240.593,223.617,0.281719,192.328,256.276,0.180647,114.036,412.85,0.329196,299.322,243.192,0.294169,249.729,304.536,0.150111,206.693,427.216,0.0818439,308.512,47.4491,0.784967,328.047,48.7944,0.782118,0,0,0,352.854,65.71,0.667919,0,0,0,0,0,0,0,0,0,106.196,435.031,0.13929,98.3759,427.198,0.165248,110.1,418.069,0.139756
313.699,56.627,0.852198,325.405,119.221,0.725295,278.441,111.444,0.60115,224.97,150.55,0.525557,158.369,163.633,0.738177,371.126,123.156,0.643534,390.657,192.281,0.569307,399.802,224.926,0.773955,284.953,244.515,0.202226,248.426,224.95,0.168005,192.332,262.791,0.101026,0,0,0,313.684,254.965,0.218221,249.737,294.102,0.0620242,214.51,416.758,0.0644315,308.499,47.4403,0.89286,328.002,47.5015,0.861786,0,0,0,351.545,64.4544,0.773508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.867,55.2955,0.88625,318.962,112.715,0.739491,273.208,104.887,0.615631,223.608,150.554,0.600276,151.836,164.896,0.701225,371.078,121.9,0.65532,390.62,191.017,0.488819,398.489,224.955,0.756035,270.614,239.302,0.304994,236.697,226.25,0.294274,198.85,256.254,0.0577938,0,0,0,303.239,252.334,0.256688,0,0,0,0,0,0,314.988,46.143,0.891189,333.233,47.5364,0.82586,305.865,48.8072,0.129264,352.839,65.7686,0.777805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352.846,68.3613,0.775219,327.986,120.512,0.689103,281.052,104.879,0.564147,226.271,138.826,0.387784,188.393,167.522,0.413872,375.002,138.803,0.62718,385.448,211.884,0.30195,0,0,0,270.609,224.945,0.218784,240.605,211.887,0.197472,192.307,245.798,0.0629718,0,0,0,298.029,236.687,0.206308,196.226,248.447,0.0583914,0,0,0,350.167,57.9683,0.830646,368.49,69.6353,0.78999,329.395,67.0174,0.77567,371.147,89.2578,0.577936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317.588,56.6711,0.933709,320.19,117.902,0.749115,270.619,110.084,0.60879,214.527,151.837,0.534694,154.468,163.597,0.737798,371.065,121.852,0.684181,390.659,189.719,0.50831,398.51,223.674,0.693785,291.49,236.688,0.232852,253.648,226.251,0.197331,188.419,268.013,0.145352,111.415,412.817,0.34211,324.114,245.826,0.190941,0,0,0,0,0,0,312.371,47.4989,0.879447,330.627,51.3728,0.849158,0,0,0,351.509,67.0461,0.816326,0,0,0,0,0,0,0,0,0,98.3577,435.033,0.202312,90.553,429.803,0.229201,110.131,414.164,0.131311
316.249,56.606,0.884163,318.925,112.71,0.746798,269.294,106.177,0.618473,214.542,149.274,0.585878,154.473,163.592,0.731937,369.822,120.588,0.670654,390.609,188.404,0.509092,398.468,222.325,0.708418,283.668,244.517,0.237204,245.835,226.257,0.177486,197.533,256.258,0.122384,0,0,0,316.292,253.659,0.238495,252.341,291.496,0.107422,204.08,427.209,0.0663152,309.76,47.4339,0.915074,328.042,48.7862,0.868926,0,0,0,350.263,67.0142,0.843924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320.221,47.5127,0.855001,318.85,121.837,0.771516,266.751,110.159,0.696786,215.797,159.71,0.494862,200.168,193.688,0.703107,371.062,134.9,0.646492,381.51,193.625,0.495839,380.22,214.548,0.778161,274.514,241.9,0.325513,239.292,235.372,0.281577,183.206,260.182,0.215689,0,0,0,307.131,251.031,0.288151,241.895,296.697,0.117658,206.687,423.301,0.121395,318.861,47.4939,0.580641,338.479,50.0869,0.779569,304.535,69.6993,0.122169,354.119,82.7143,0.687084,172.753,424.607,0.0950561,0,0,0,202.759,433.738,0.06219,0,0,0,0,0,0,0,0,0
